item_id,knowledge_code
1,"[47, 3]"
2,"[36, 3]"
3,"[47, 3]"
4,"[47, 5]"
5,"[36, 3]"
6,[70]
7,[60]
8,[60]
9,[60]
10,[37]
11,[37]
12,[15]
13,"[15, 5]"
14,"[15, 5]"
15,"[37, 5]"
16,[15]
17,[15]
18,[15]
19,[15]
20,[37]
21,[15]
22,"[15, 4]"
23,"[15, 4]"
24,"[15, 3]"
25,"[15, 3]"
26,[37]
27,[15]
28,[15]
29,[15]
30,[15]
31,[15]
32,"[15, 8]"
33,"[15, 8]"
34,"[15, 8]"
35,"[37, 8]"
36,"[15, 8]"
37,"[15, 8]"
38,"[15, 8]"
39,"[15, 8]"
40,"[24, 8]"
41,[37]
42,[37]
43,[37]
44,[37]
45,[37]
46,"[37, 27]"
47,"[37, 28]"
48,"[37, 27]"
49,"[37, 29]"
50,"[37, 27]"
51,"[45, 27]"
52,[45]
53,[45]
54,[45]
55,[45]
56,"[45, 30]"
57,"[33, 31]"
58,"[38, 9]"
59,"[33, 9]"
60,[38]
61,[45]
62,[37]
63,[39]
64,[39]
65,[39]
66,[39]
67,[37]
68,[34]
69,[37]
70,"[37, 31]"
71,"[37, 30]"
72,"[37, 30]"
73,"[37, 26]"
74,"[37, 26]"
75,"[37, 25]"
76,"[63, 25]"
77,[63]
78,[63]
79,[63]
80,"[15, 34]"
81,"[15, 68]"
82,"[15, 68]"
83,"[15, 34]"
84,"[15, 34]"
85,[38]
86,[38]
87,[38]
88,[38]
89,[15]
90,[15]
91,[15]
92,[15]
93,[38]
94,[38]
95,[38]
96,[38]
97,[15]
98,[15]
99,[15]
100,[15]
101,[38]
102,[38]
103,[38]
104,[38]
105,[15]
106,[15]
107,[15]
108,"[15, 8]"
109,"[15, 8]"
110,"[15, 8]"
111,"[15, 8]"
112,"[15, 8]"
113,"[40, 8]"
114,"[40, 8]"
115,"[40, 8]"
116,"[40, 12]"
117,"[40, 12]"
118,[15]
119,[15]
120,[38]
121,[38]
122,[38]
123,[15]
124,[15]
125,"[13, 15]"
126,"[13, 15]"
127,"[13, 15]"
128,"[15, 13]"
129,"[15, 13]"
130,"[15, 6]"
131,"[15, 7]"
132,"[15, 6]"
133,"[15, 6]"
134,"[15, 6]"
135,[15]
136,[15]
137,[15]
138,"[38, 15]"
139,"[38, 15]"
140,[15]
141,[15]
142,[15]
143,[15]
144,"[38, 15]"
145,[38]
146,[15]
147,[15]
148,[40]
149,[15]
150,[15]
151,[15]
152,[15]
153,[15]
154,[47]
155,[15]
156,[38]
157,[38]
158,[15]
159,[33]
160,[47]
161,"[15, 35]"
162,"[15, 35]"
163,"[15, 35]"
164,"[15, 35]"
165,[15]
166,[15]
167,[15]
168,[15]
169,"[47, 6]"
170,"[60, 7]"
171,"[47, 7]"
172,"[70, 6]"
173,"[37, 5]"
174,"[15, 5]"
175,"[15, 5]"
176,"[60, 5]"
177,[60]
178,[37]
179,[37]
180,[34]
181,"[34, 32]"
182,"[60, 32]"
183,"[60, 32]"
184,[37]
185,[15]
186,[15]
187,[15]
188,[15]
189,[15]
190,[15]
191,[15]
192,[82]
193,[81]
194,[80]
195,[63]
196,[63]
197,[63]
198,"[63, 1]"
199,"[63, 1]"
200,"[63, 1]"
201,"[63, 1]"
202,"[1, 63]"
203,"[63, 1]"
204,[63]
205,[63]
206,[63]
207,[63]
208,[63]
209,[63]
210,[63]
211,"[63, 30]"
212,"[63, 36]"
213,"[66, 36]"
214,[66]
215,[66]
216,[66]
217,"[66, 37]"
218,"[66, 37]"
219,"[66, 37]"
220,"[66, 37]"
221,"[66, 37]"
222,[66]
223,[66]
224,[66]
225,[63]
226,[63]
227,[66]
228,[66]
229,[66]
230,"[63, 15]"
231,"[63, 15]"
232,"[63, 15]"
233,"[66, 15]"
234,"[66, 15]"
235,"[63, 15]"
236,"[66, 15]"
237,"[66, 15]"
238,[66]
239,[63]
240,[66]
241,[66]
242,[66]
243,[66]
244,"[63, 30]"
245,"[66, 31]"
246,"[24, 30]"
247,[66]
248,[63]
249,[60]
250,[60]
251,[60]
252,[60]
253,[60]
254,[38]
255,[60]
256,[60]
257,[60]
258,[60]
259,[60]
260,[60]
261,[60]
262,[37]
263,[37]
264,[37]
265,[37]
266,[37]
267,[6]
268,[6]
269,[6]
270,[88]
271,[6]
272,[69]
273,[69]
274,[6]
275,[6]
276,[71]
277,[41]
278,[41]
279,[60]
